,...1,valid,incent_heads,incent_guess,country_guess,gender,age,residence,heads,integ_1,integ_2,integ_3,integ_4,integ_5,integ_6,integ_7,integ_8,integ_9,integ_10,integ_11,integ_12,integ_13,integ_14,integ_15,guess,nationality,relig_service,nat2,quiz_1_correct,quiz_2_correct,quiz_3_correct,quiz_4_correct,quiz_5_correct,quiz_6_correct,marital,n_children,income,relig_import,educ_age,bad_behav_1,bad_behav_2,bad_behav_3,bad_behav_4,quiz_score
46,46,1,3,no,Japan,2.0,3.0,US,True,2.0,5.0,1.0,2.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,2.0,4.0,50.0,US,3.0,American,1.0,1,1.0,0,1,1,,,,,,,,,,2
47,47,1,3,yes,Switzerland,1.0,4.0,US,True,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,55.0,US,3.0,American,1.0,1,1.0,1,0,1,,,,,,,,,,3
48,48,1,3,no,China,1.0,4.0,US,True,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,50.0,US,1.0,American,0.0,0,0.0,0,0,0,,,,,,,,,,0
49,49,1,5,yes,Greece,1.0,3.0,US,False,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,65.0,US,2.0,American,0.0,1,1.0,0,1,1,,,,,,,,,,2
50,50,1,5,no,Russia,1.0,3.0,US,True,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,50.0,US,2.0,American,0.0,0,0.0,0,1,1,,,,,,,,,,1
51,51,1,5,yes,Brazil,2.0,2.0,US,False,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,50.0,US,3.0,American,0.0,0,0.0,0,0,0,,,,,,,,,,0
52,52,1,3,no,Brazil,2.0,3.0,US,True,4.0,3.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,80.0,US,2.0,American,1.0,1,1.0,0,0,0,,,,,,,,,,1
53,53,1,5,yes,the United States,2.0,2.0,US,True,4.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,100.0,US,3.0,American,1.0,1,1.0,0,0,1,,,,,,,,,,2
54,54,1,5,yes,China,2.0,3.0,US,True,4.0,3.0,1.0,1.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,50.0,US,3.0,American,1.0,1,1.0,1,1,1,,,,,,,,,,3
55,55,1,3,yes,Japan,2.0,2.0,US,True,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,50.0,US,3.0,American,0.0,0,0.0,0,0,0,,,,,,,,,,0
56,56,1,3,no,Turkey,1.0,4.0,US,True,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,85.0,US,3.0,American,1.0,1,1.0,1,0,1,,,,,,,,,,3
57,57,1,5,no,Greece,1.0,4.0,US,True,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,US,2.0,American,0.0,0,0.0,0,1,0,,,,,,,,,,0
