,valid,incent_heads,incent_guess,guess_country,gender,age,residence,heads,integ_1,integ_2,integ_3,integ_4,integ_5,integ_6,integ_7,integ_8,integ_9,integ_10,integ_11,integ_12,integ_13,integ_14,integ_15,guess,nationality,relig_service,nat2,quiz_1_correct,quiz_2_correct,quiz_3_correct,quiz_4_correct,quiz_5_correct,quiz_6_correct,marital,n_children,income,relig_import,educ_age,bad_behav_1,bad_behav_2,bad_behav_3,bad_behav_4,quiz_score,year,gle_rgdpc
779,1,3,yes,포르투갈,2,3,South Korea,FALSE,2,3,4,2,2,2,3,2,2,2,2,4,3,2,2,1,South Korea,2,,,0,0,0,0,0,2,3,5000000,2,7,2,2,2,2,0,2011,29271.51
780,1,3,yes,India,2,3,India,TRUE,4,4,4,4,4,3,4,4,4,4,4,4,4,2,4,1,India,1,,0,0,0,0,0,0,1,1,400000,1,7,2,2,2,2,0,2011,3755.1399
781,1,5,yes,Republic of Korea,1,3,India,TRUE,4,4,4,2,4,2,2,4,4,4,4,4,4,4,4,1,India,2,,1,1,1,1,1,1,1,1,40000,3,7,2,2,1,2,3,2011,3755.1399
782,1,3,no,Denmark,2,3,India,TRUE,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,,India,1,,1,1,1,1,1,1,2,2,85000,1,7,2,2,2,2,3,2011,3755.1399
783,1,3,yes,Portugal,1,5,Denmark,TRUE,4,4,3,3,3,3,4,4,4,4,3,2,4,2,4,1,Denmark,3,,1,1,1,1,1,1,1,2,75000,3,7,1,2,2,2,3,2011,32998.488
784,1,3,yes,포르투갈,2,4,South Korea,TRUE,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,South Korea,1,,1,0,1,1,0,0,2,3,4000000,2,7,2,2,1,2,1,2011,29271.51
785,1,5,no,인도,1,4,South Korea,FALSE,4,4,4,2,2,4,4,4,3,4,4,4,4,4,3,,South Korea,3,,1,1,0,0,1,0,2,2,5000000,4,7,2,2,2,1,1,2011,29271.51
786,1,5,yes,남아프리카,1,3,South Korea,FALSE,3,4,3,3,4,4,4,3,4,4,4,4,4,3,5,1,South Korea,3,,1,0,0,0,0,0,1,1,300,2,7,2,2,2,2,0,2011,29271.51
787,1,3,no,Portugal,2,5,Denmark,TRUE,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,,Denmark,2,,1,1,1,1,1,1,2,3,ingen indtægt jeg er hjemmegående,4,5,2,2,2,2,3,2011,32998.488
788,1,5,yes,sydafrika,2,3,Denmark,TRUE,4,5,3,2,4,4,3,4,4,4,4,4,3,3,4,1,Denmark,2,,1,1,0,0,1,0,2,2,18500,4,1,2,2,2,2,1,2011,32998.488
789,1,3,no,Republikken Korea,2,4,Denmark,TRUE,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,Denmark,2,,0,0,0,0,0,0,1,3,,3,7,2,2,1,2,0,2011,32998.488
790,1,3,no,Portugal,1,3,Argentina,TRUE,4,4,5,2,3,3,5,3,4,4,3,4,4,3,3,,Argentina,3,,1,1,0,1,1,0,1,1,1500,3,5,2,2,2,2,2,2011,13322.81
791,1,5,no,Dinamarca,2,4,Argentina,FALSE,4,4,4,4,3,4,3,4,4,3,4,4,4,3,3,,Argentina,3,,0,0,0,0,0,0,4,4,3000,4,1,2,2,1,2,0,2011,13322.81
792,1,3,yes,덴마크,2,5,South Korea,TRUE,3,4,4,2,2,4,4,2,4,4,4,3,3,2,3,1,South Korea,3,,1,1,1,1,1,0,2,2,310만원,2,5,2,2,1,2,2,2011,29271.51
793,1,5,no,Republic of Korea,1,4,India,TRUE,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,,India,1,,1,1,1,1,1,1,2,2,80000,2,7,2,2,2,1,3,2011,3755.1399
794,1,5,no,United Kingdom of Great Britain and Northern Ireland,2,3,India,TRUE,3,3,4,4,3,4,4,3,4,4,4,4,3,4,3,,India,1,,0,0,0,0,0,0,1,2,400000,1,8,1,1,1,1,0,2011,3755.1399
795,1,3,yes,대한민국,2,4,South Korea,TRUE,4,3,4,2,3,4,4,4,3,4,4,4,5,3,3,1,South Korea,,,1,0,0,0,0,0,2,3,소득없음,4,7,2,2,1,2,0,2011,29271.51
796,1,5,no,영국과 북 아일랜드의 영국,1,2,South Korea,TRUE,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,,South Korea,2,,1,1,1,1,1,1,1,1,200,3,7,2,2,2,2,3,2011,29271.51
797,1,5,yes,아르헨티나,2,4,South Korea,TRUE,4,4,4,3,2,4,4,4,3,4,3,4,4,4,4,1,South Korea,3,,1,0,0,0,0,0,2,2,5000000,4,7,2,2,2,2,0,2011,29271.51
798,1,5,yes,Argentina,1,2,Argentina,TRUE,3,3,4,3,3,4,2,3,4,4,3,3,3,4,2,1,Argentina,2,,1,0,0,0,0,0,1,2,5000,3,1,2,1,2,2,0,2011,13322.81
799,1,5,yes,Argentina,2,3,India,TRUE,4,3,4,4,4,3,2,4,4,4,4,3,4,3,4,1,India,1,,1,1,1,1,1,1,1,1,43000,1,7,2,2,2,1,3,2011,3755.1399
800,1,3,no,South Africa,1,6,UK,FALSE,4,4,4,3,2,3,4,3,4,4,2,2,4,2,2,,UK,2,,0,0,0,0,0,0,2,3,1500,3,3,2,2,2,2,0,2011,30691.039
801,1,3,yes,Reino Unido da Grã-Bretanha e Irlanda do Norte,1,6,Portugal,FALSE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,Portugal,3,FL_239,0,0,0,0,0,0,2,2,1800,3,7,2,2,1,2,0,2011,20946.4
802,1,3,yes,United Kingdom of Great Britain and Northern Ireland,2,5,India,TRUE,1,2,2,2,1,1,2,1,1,1,1,1,2,2,1,1,India,1,,0,0,0,0,0,0,2,2,40000,1,5,1,1,1,1,0,2011,3755.1399
803,1,3,yes,덴마크,1,5,South Korea,FALSE,3,4,2,3,3,3,3,3,4,4,3,2,2,3,4,1,South Korea,3,,0,0,0,0,1,0,1,1,6555조,4,7,2,2,1,2,0,2011,29271.51
804,1,3,yes,아르헨티나,2,2,South Korea,FALSE,3,4,4,3,2,4,4,3,2,4,4,4,4,4,2,1,South Korea,3,,1,0,0,0,0,0,1,1,학생입니다.,4,7,2,2,1,1,0,2011,29271.51
805,1,3,no,Argentina,1,6,UK,TRUE,4,4,3,3,2,4,4,4,4,4,4,4,3,4,3,,UK,3,,0,0,0,0,0,0,2,3,3200,4,5,2,2,2,2,0,2011,30691.039
806,1,5,no,África Do Sul,2,3,Portugal,TRUE,4,4,3,3,4,4,3,4,4,4,4,4,4,3,3,,Portugal,3,FL_243,1,1,1,0,1,1,1,1,0,4,7,2,2,1,2,2,2011,20946.4
807,1,5,yes,Dinamarca,1,2,Portugal,FALSE,4,4,2,2,3,4,1,4,4,4,4,4,4,2,1,1,Portugal,3,FL_242,0,0,0,0,0,0,1,2,2000,4,8,2,2,1,2,0,2011,20946.4
808,1,5,no,República de Corea,2,4,Argentina,TRUE,2,2,4,1,,2,4,2,4,4,2,2,2,4,2,,Argentina,2,,0,0,0,0,0,0,1,2,10000,2,3,2,2,1,1,0,2011,13322.81
809,1,5,no,인도,1,4,South Korea,TRUE,4,4,3,3,4,4,2,4,4,4,4,4,4,4,4,,South Korea,3,,1,1,1,0,1,1,1,1,330만원,4,7,2,2,1,2,2,2011,29271.51
810,1,5,yes,India,2,3,India,TRUE,3,4,3,2,2,1,4,2,4,4,1,1,4,4,3,1,India,3,,0,1,1,1,0,1,2,2,300000,3,7,1,2,1,2,3,2011,3755.1399
811,1,5,no,África Do Sul,1,3,Portugal,TRUE,4,4,4,1,4,2,3,4,4,4,2,4,4,4,3,,Portugal,2,FL_243,1,1,1,1,1,1,1,3,650,1,6,2,2,2,2,3,2011,20946.4
812,1,3,yes,República da Coreia,2,3,Portugal,TRUE,4,4,4,3,4,4,5,4,4,4,4,4,4,2,4,1,Portugal,3,FL_238,0,0,0,0,0,0,1,3,850,4,8,2,2,1,2,0,2011,20946.4
813,1,3,no,Portugal,1,4,Portugal,TRUE,3,4,3,1,5,4,5,2,3,3,4,3,3,2,3,,Portugal,3,FL_240,1,0,0,0,0,0,2,3,1850,3,7,2,2,1,2,0,2011,20946.4
814,1,5,yes,Índia,1,2,Portugal,FALSE,3,2,2,2,2,3,2,3,3,4,3,4,4,3,2,1,Portugal,2,FL_237,1,0,1,0,0,0,1,1,300,3,7,2,1,1,2,0,2011,20946.4
